"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kim K.; Hong C.S.","Kim, Kitae (57209175466); Hong, Choong Seon (56623778200)","57209175466; 56623778200","Pruned Autoencoder based mmWave Channel Estimation in RIS-Assisted Wireless Networks","2022","APNOMS 2022 - 23rd Asia-Pacific Network Operations and Management Symposium: Data-Driven Intelligent Management in the Era of beyond 5G","","","","","","","1","10.23919/APNOMS56106.2022.9919942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142086471&doi=10.23919%2fAPNOMS56106.2022.9919942&partnerID=40&md5=27ee5463b3fc79e4251028c667391ff9","Accurate channel estimation is an essential factor in determining the efficiency of a wireless communication system. Moreover, in Reconfigurable Intelligent Surfaces(RIS)-Assisted wireless networks using millimeter wave (mmWave), it is crucial to optimize each RIS element's phase shift. Therefore, in this paper, we propose a channel estimation method in TDD-based wireless communication system using auto encoder in RIS-Assisted wireless networks. The trade-off relationship between channel estimation accuracy and the number of pilot signals is optimized when performing channel estimation. Through denoising autoencoder and Average Percentage of Zeros(APoZ), we find the optimal pilot pattern considering not only the number of pilots but also the location. As a result of the experiment, the proposed method has little difference in performance or outperforms the full neural network without pruning. © 2022 IEICE.","Channel Estimation; Deep Learning; mm Wave; Reconfigurable Intelligent Surfaces","Deep learning; Economic and social effects; Learning systems; Millimeter waves; Wireless networks; Accurate channel estimation; Auto encoders; Channel estimation method; Deep learning; Mm waves; Reconfigurable; Reconfigurable intelligent surface; Surface elements; Wave channels; Wireless communication system; Channel estimation","Conference paper","Final","","Scopus","2-s2.0-85142086471"
"Koumpounis S.; Perry M.","Koumpounis, Stavros (58554761800); Perry, Mark (56250379300)","58554761800; 56250379300","Blockchain-based electronic health record system with patient-centred data access control","2023","Proceedings - 2023 IEEE/ACM 6th International Workshop on Emerging Trends in Software Engineering for Blockchain, WETSEB 2023","","","","17","24","7","0","10.1109/WETSEB59161.2023.00008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169137394&doi=10.1109%2fWETSEB59161.2023.00008&partnerID=40&md5=d17f43c4e7812119ffa1e6b91cccfcfe","This study examines the application of blockchain technology in addressing the increasing prevalence of mental health issues among young adults in the UK. Despite the recognition of the potential of digital health solutions and mental health apps by healthcare organizations and professionals, many individuals are hesitant to share sensitive information due to security concerns. To address this, the study proposes utilizing blockchain technology to create a patient-centred, transparent system for data access control that adheres to the General Data Protection Regulation (GDPR) and established security protocols. The research includes the development of a proof-of-concept decentralized web application, which incorporates a modified scrum methodology, test-driven development, clearly defined security requirements, and design patterns for security and gas optimization. The study concludes with an evaluation of the application, insights from automated security analytics, and recommendations for future research.  © 2023 IEEE.","blockchain; concurrency; consensus; digital health; patient-centred","Access control; Concurrency control; Network security; Sensitive data; Block-chain; Concurrency; Consensus; Data access control; Digital health; Electronic health; Health issues; Health records; Mental health; Patient-centered; Blockchain","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85169137394"
"Sun J.C.-Y.; Liu Y.; Lin X.; Hu X.","Sun, Jerry Chih-Yuan (37065367600); Liu, Yiming (57222510823); Lin, Xi (57211635554); Hu, Xiao (55496358400)","37065367600; 57222510823; 57211635554; 55496358400","Temporal learning analytics to explore traces of self-regulated learning behaviors and their associations with learning performance, cognitive load, and student engagement in an asynchronous online course","2023","Frontiers in Psychology","13","","1096337","","","","0","10.3389/fpsyg.2022.1096337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147428952&doi=10.3389%2ffpsyg.2022.1096337&partnerID=40&md5=fd9d3ad4c081ca41fe98a4bc7d384ec4","Self-regulated learning (SRL) plays a critical role in asynchronous online courses. In recent years, attention has been focused on identifying student subgroups with different patterns of online SRL behaviors and comparing their learning performance. However, there is limited research leveraging traces of SRL behaviors to detect student subgroups and examine the subgroup differences in cognitive load and student engagement. The current study tracked the engagement of 101 graduate students with SRL-enabling tools integrated into an asynchronous online course. According to the recorded SRL behaviors, this study identified two distinct student subgroups, using sequence analysis and cluster analysis: high SRL (H-SRL) and low SRL (L-SRL) groups. The H-SRL group showed lower extraneous cognitive load and higher learning performance, germane cognitive load, and cognitive engagement than the L-SRL group did. Additionally, this study articulated and compared temporal patterns of online SRL behaviors between the student subgroups combining lag sequential analysis and epistemic network analysis. The results revealed that both groups followed three phases of self-regulation but performed off-task behaviors. Additionally, the H-SRL group preferred activating mastery learning goals to improve ethical knowledge, whereas the L-SRL group preferred choosing performance-avoidance learning goals to pass the unit tests. The H-SRL group invested more in time management and notetaking, whereas the L-SRL group engaged more in surface learning approaches. This study offers researchers both theoretical and methodological insights. Additionally, our research findings help inform practitioners about how to design and deploy personalized SRL interventions in asynchronous online courses. Copyright © 2023 Sun, Liu, Lin and Hu.","asynchronous online course; cognitive load; educational data mining; self-regulated learning; student engagement; temporal learning analytics","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147428952"
"Hidayat W.N.; Hamdan A.; Sucahyo C.B.; Paramarta A.K.I.; Setyaputri F.U.; Suswanto H.","Hidayat, Wahyu Nur (57210040496); Hamdan, Achmad (57220034188); Sucahyo, Cornaldo Beliarding (57888415600); Paramarta, Andien Khansaaa Iffat (57887735600); Setyaputri, Faradini Usha (57887966400); Suswanto, Hary (57191635859)","57210040496; 57220034188; 57888415600; 57887735600; 57887966400; 57191635859","Webiplan as a Webinar Management Information System for Optimizing Online Seminars During the COVID-19 Pandemic","2022","2022 International Seminar on Intelligent Technology and Its Applications: Advanced Innovations of Electrical Systems for Humanity, ISITIA 2022 - Proceeding","","","","175","180","5","0","10.1109/ISITIA56226.2022.9855269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137938674&doi=10.1109%2fISITIA56226.2022.9855269&partnerID=40&md5=ce3b98f3c976c388dea46ebfca44e5bc","Humans are facing multiple disruptions caused by the development of the industrial revolution 4.0 and the covid-19 pandemic. This changes the work pattern of the people who are required to carry out all online-based activities, including the implementation of seminars or conferences. The amount of training and socialization carried out by webinars requires a good webinar management system. The purpose of this paper is to develop a web-based information system for webinar activity management under the name webiplan. The method used in system development is the waterfall method. In the waterfall method, there are 5 stages, including requirements, design, implementation, verification, and maintenance. The subjects of this research are prospective end users of the system, namely lecturers and students who are accustomed to participating in webinars. The design and development stages are tailored to the user's needs obtained in the previous phase and are described as product backlog items. At the verification stage, three stages are used to evaluate the feasibility level of the information system, including: unit testing using whitebox testing, validation testing using the blackbox testing method, and compatibility testing. The results of whitebox testing and blackbox testing showed that every feature and user task could run well so as to provide convenience for the organizers and participants in the implementation of the webinar. This Webiplan is also compatible with various web browsers so as to give users flexibility in using it.  © 2022 IEEE.","Information System; Management; Online Seminar; Webinar Information System","Information systems; Information use; Management information systems; Product design; Web browsers; Well testing; Activity managements; Industrial revolutions; Management systems; Online seminar; System development; Waterfall methods; Web based information systems; Webinar information system; White-box testing; Work patterns; Information management","Conference paper","Final","","Scopus","2-s2.0-85137938674"
"Tarcsay B.; Perez-Tellez F.; Vasic J.","Tarcsay, Botond (57911134600); Perez-Tellez, Fernando (35090542400); Vasic, Jelena (37082288000)","57911134600; 35090542400; 37082288000","Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13902 LNCS","","","47","57","10","0","10.1007/978-3-031-33783-3_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164261529&doi=10.1007%2f978-3-031-33783-3_5&partnerID=40&md5=0ef290b6d7fe4e6021e4fedc3b582861","Programming has become an important skill in today’s world and is taught widely both in traditional and online settings. Instructors need to grade increasing amounts of student work. Unit testing can contribute to the automation of the grading process but it cannot assess the structure or partial correctness of code, which is needed for finely differentiated grading. This paper builds on previous research that investigated machine learning models for determining the correctness of programs from token-based features of source code and found that some such models can be successful in classifying source code with respect to whether it passes unit tests. This paper makes two further contributions. First, these results are scrutinized under conditions of varying similarity between code instances used for model training and testing, for a better understanding of how well the models generalize. It was found that the models do not generalize outside of groups of code instances performing very similar tasks (corresponding to similar coding assignments). Second, selected binary classification models are used as a base for multi-class prediction with two different methods. Both of these exhibit prediction success well above the random baseline, with potential to contribute to automated assessment with multi-valued measures of quality (grading schemes), in contrast to the binary pass/fail measure associated with unit testing. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Applied Machine Learning for Code Assessment; Automated Grading; Student Programming Code Grading","Automation; Machine learning; Well testing; Applied machine learning; Applied machine learning for code assessment; Automated grading; Grading process; Machine-learning; On-line setting; Programming codes; Source codes; Student programming code grading; Unit testing; Grading","Conference paper","Final","","Scopus","2-s2.0-85164261529"
"Beller M.; Wong C.-P.; Bader J.; Scott A.; MacHalica M.; Chandra S.; Meijer E.","Beller, Moritz (56767658300); Wong, Chu-Pan (56683575800); Bader, Johannes (57200607912); Scott, Andrew (57215357525); MacHalica, Mateusz (57210976532); Chandra, Satish (55729867300); Meijer, Erik (8951368300)","56767658300; 56683575800; 57200607912; 57215357525; 57210976532; 55729867300; 8951368300","What it would take to use mutation testing in industry - A study at facebook","2021","Proceedings - International Conference on Software Engineering","","","","268","277","9","20","10.1109/ICSE-SEIP52600.2021.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106138886&doi=10.1109%2fICSE-SEIP52600.2021.00036&partnerID=40&md5=1ca95d490a8940708570762c32c05ff6","Traditionally, mutation testing generates an abundance of small deviations of a program, called mutants. At industrial systems the scale and size of Facebook's, doing this is infeasible. We should not create mutants that the test suite would likely fail on or that give no actionable signal to developers. To tackle this problem, in this paper, we semi-automatically learn error-inducing patterns from a corpus of common Java coding errors and from changes that caused operational anomalies at Facebook specifically. We combine the mutations with instrumentation that measures which tests exactly visited the mutated piece of code. Results on more than 15,000 generated mutants show that more than half of the generated mutants survive Facebook's rigorous test suite of unit, integration, and system tests. Moreover, in a case study with 26 developers, all but two expressed that the mutation exposed a lack of testing in principle. As such, almost half of the 26 would actually act on the mutant presented to them by adapting an existing or creating a new test. The others did not for a variety of reasons often outside the scope of mutation testing. It remains a practical challenge how we can include such external information to increase the true actionability rate on mutants. © 2021 IEEE.","Getafix; Machine Learning; Mutation Monkey; Mutation Testing","Codes (symbols); Machine learning; Social networking (online); Testing; Case-studies; Facebook; Getafix; Industrial systems; Learn+; Machine-learning; Mutation monkey; Mutation testing; System test; Unit tests; Software testing","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106138886"
"Staegemann D.; Volk M.; Pohl M.; Haertel C.; Hintsch J.; Turowski K.","Staegemann, Daniel (57209341661); Volk, Matthias (57191155740); Pohl, Matthias (57194948513); Haertel, Christian (57204043786); Hintsch, Johannes (56023009700); Turowski, Klaus (7004567723)","57209341661; 57191155740; 57194948513; 57204043786; 56023009700; 7004567723","Identifying Guidelines for Test-Driven Development in Software Engineering—A Literature Review","2023","Lecture Notes in Networks and Systems","465","","","327","336","9","0","10.1007/978-981-19-2397-5_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136982061&doi=10.1007%2f978-981-19-2397-5_30&partnerID=40&md5=09b9899427719df081e3c6f7a973297f","With the significance, ubiquity, and complexity of information technology continuously rising, the corresponding quality assurance becomes increasingly important and challenging. Consequently, numerous tools, techniques, paradigms, and strategies that facilitate the quality assurance of the developed applications have emerged. Test-driven development (TDD) is one of those strategies. In contrast to the traditional approach, it places testing ahead of the actual implementation, which, in turn, also heavily influences the system’s design. With the approach being rather complex, naturally, guidance on its correct application is one of the most relevant aspects for many practitioners. To provide assistance to them, but also to researchers concerned with the domain, the publication at hand identifies twenty guidelines for the practical application of TDD in software engineering, by conducting a structured literature review. In doing so, it provides a solid foundation for the implementation of corresponding endeavors as well as a starting point for further discussion. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Best practice; Guidance; Guideline; Literature review; Pattern; Software engineering; Test-driven development","","Conference paper","Final","","Scopus","2-s2.0-85136982061"
"Kim S.; Kim S.; Yoon Y.","Kim, Svetlana (24504457200); Kim, Subi (57990321800); Yoon, YongIk (7402126740)","24504457200; 57990321800; 7402126740","Trustworthy Dynamic Data Awareness Model for Tracking in CPS","2022","Human-centric Computing and Information Sciences","12","","13","","","","1","10.22967/HCIS.2022.12.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129370944&doi=10.22967%2fHCIS.2022.12.013&partnerID=40&md5=421e13f0902301ae385b6d87b5449154","With the development of Internet of Things (IoT), the interconnected devices and sensors in cyber-physical systems (CPS) are increasing; these continuously exchange collected data for revealing helpful information about the overall system. In CPS-based monitoring applications, abnormal (including anomalies/outliers) values can lead to severe consequences for skewed judgments. The criteria for determining abnormal values may change over time, making it impossible to detect abnormal in real-time based on a training model or rely on traditional statistical methods to find abnormal values efficiently. When machine learning using, abnormal values in the data set are considered data errors or noise and excluded from analysis for the stability of the results. However, the identified abnormal values contain essential information in some cases, making correct navigation and identifying anomalies even more critical. This paper proposes a Trustworthy Dynamic Data-Awareness (TDD-Awareness) algorithm that extracts the characteristics of continuous sensor data and accurately identifies abnormal values through the subsequent preprocessing process. The TDD-Awareness algorithm extracts the number of generated abnormally, the time of occurrence, and the characteristics and patterns needed to analyze the location of occurrence from the sensor data. The importance of “abnormal values” is determined by effectively exploring the relationship between abnormally to separate containing necessary information. © 2022","Contextual Anomaly; CPS; Data Awareness; Digital Twin; IoT; Outlier Detection; Point Anomaly; Preprocessing; Trustworthy","Anomaly detection; Data mining; Internet of things; Abnormal values; Awareness model; Contextual anomaly; Data awareness; Dynamic data; Outlier Detection; Point anomaly; Preprocessing; Sensors data; Trustworthy; Embedded systems","Article","Final","","Scopus","2-s2.0-85129370944"
"Gu Q.; Ke W.; Yang Y.","Gu, Qiqi (57490002600); Ke, Wei (57207833441); Yang, Yilong (57201588421)","57490002600; 57207833441; 57201588421","Transformation from MVC Applications to Smart Contracts","2022","Proceedings - 2022 IEEE 20th International Conference on Embedded and Ubiquitous Computing, EUC 2022","","","","104","111","7","0","10.1109/EUC57774.2022.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153860822&doi=10.1109%2fEUC57774.2022.00025&partnerID=40&md5=741eeeb3f7e53bd4f53e1b2f0afb58b2","A smart contract is a program running on a blockchain platform. Smart devices send data to smart contracts or change their own status based on smart contracts. Businesses want to use smart devices and smart contracts to streamline workflow because smart contracts reduce the need in trusted intermediators and cut down enforcement costs. However, developing smart contract applications is challenging due to different memory models, different interaction models, and a dearth of supporting tools and libraries. When developers are asked to reimplement conventional applications to smart contracts, it is thus ideal to automatically transform them, avoiding manual labor, as well as ensuring reliability and security. This paper contributes a set of rules to transform conventional applications in the Model-View-Controller (MVC) pattern into smart contracts running on Hyperledger Fabric, a blockchain platform preferred by businesses. Major transformations are performed in the model, while in the controller, model calls are replaced by smart contract calls. The source application and the target smart contract are all written in Java. Our rules add read-your-writes consistency that Hyperledger Fabric does not natively support. Runtime pre- and post-condition checking in the original application is supported in the transformed smart contract. We evaluated our rules on CoCoME and other MVC applications, and all code ran correctly and passed unit tests.  © 2022 IEEE.","Code generation; Hyperledger fabric; IoT; Smart contract; Transformation","Blockchain; Codes (symbols); Distributed ledger; Internet of things; Block-chain; Codegeneration; Condition; Enforcement costs; Hyperledg fabric; IoT; Model-view controller; Smart devices; Transformation; Work-flows; Smart contract","Conference paper","Final","","Scopus","2-s2.0-85153860822"
"Wang S.; Shrestha N.; Subburaman A.K.; Wang J.; Wei M.; Nagappan N.","Wang, Song (56995463200); Shrestha, Nishtha (57222760213); Subburaman, Abarna Kucheri (57204933695); Wang, Junjie (55976866600); Wei, Moshi (57225202710); Nagappan, Nachiappan (8261920700)","56995463200; 57222760213; 57204933695; 55976866600; 57225202710; 8261920700","Automatic unit test generation for machine learning libraries: How far are we?","2021","Proceedings - International Conference on Software Engineering","","","","1548","1560","12","12","10.1109/ICSE43902.2021.00138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115676453&doi=10.1109%2fICSE43902.2021.00138&partnerID=40&md5=b5c922209794d88bc202afaebdc4bed2","Automatic unit test generation that explores the input space and produces effective test cases for given programs have been studied for decades. Many unit test generation tools that can help generate unit test cases with high structural coverage over a program have been examined. However, the fact that existing test generation tools are mainly evaluated on general software programs calls into question about its practical effectiveness and usefulness for machine learning libraries, which are statistically orientated and have fundamentally different nature and construction from general software projects. In this paper, we set out to investigate the effectiveness of existing unit test generation techniques on machine learning libraries. To investigate this issue, we conducted an empirical study on five widely used machine learning libraries with two popular unit testcase generation tools, i.e., EVOSUITE and Randoop. We find that (1) most of the machine learning libraries do not maintain a high-quality unit test suite regarding commonly applied quality metrics such as code coverage (on average is 34.1%) and mutation score (on average is 21.3%), (2) unit test case generation tools, i.e., EVOSUITE and Randoop, lead to clear improvements in code coverage and mutation score, however, the improvement is limited, and (3) there exist common patterns in the uncovered code across the five machine learning libraries that can be used to improve unit test case generation tasks.  © 2021 IEEE.","Empirical software engineering; Test case generation; Testing machine learning libraries","Machine learning; Software testing; Code coverage; Empirical Software Engineering; Generation tools; Mutation score; Software project; Test case; Test case generation; Testing machine learning library; Unit test generations; Unit tests; Libraries","Conference paper","Final","","Scopus","2-s2.0-85115676453"
