title,abstract,authors,year,source,doi,url_of_publication
Joint analysis of families of SE experiments,"Context: Replication is of paramount importance for building solid theories in experimental disciplines and is a cornerstone of the evolution of science. Over the last few years, the role of replication in software engineering (SE), families of experiments and the need to aggregate the results of groups of experiments have attracted special attention. Frameworks, taxonomies, processes, recommendations and guidelines for reporting replications have been proposed to support the replication of SE experiments. There has been much less debate about the issue of the joint analysis of replications whose raw data are available to experimenters. Objectives: The aim of our research is to explore current trends in the joint analysis of SE experiments whose raw data are available to experimenters. Notice that the fact that experimenters have access to the raw data is what differentiates joint analysis from other methods for aggregating experimental results (e.g. systematic literature review (SLR), where the applicability of meta-analysis techniques is widely accepted). The objective of this three-year investigation is to shed light on the best joint analysis approach when the experimenters have access to raw data from several replications. Method: Narrative comparison, standard frequentist methods, meta-analysis and Bayesian methods have been used in SE literature. We will apply and evaluate each approach to the experiments on Test-Driven Development (TDD) carried out within the Experimental Software Engineering Industrial Laboratory (ESEIL) project. We will propose and rate a tentative framework for aggregating results within the ESEIL project. The proposed framework, as well as the different existing methods, will be evaluated on another set of replications of testing technique experiments. Current status: The thesis proposal was elicited on the 15 January 2015 and rounded out over the following six months. As a three-year thesis, its discussion and findings will be projected across the years 2015, 2016 and 2017. The first results are now being aggregated with the data from four different experiments on TDD (two in academia and two in industry), and preliminary results are expected to be available in October 2015. © 2015 for this paper by its authors.",Parrilla A.S.,2015,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954476854&partnerID=40&md5=5b898b07de1f9f66f83f3ddb8da1f951
Considering rigor and relevance when evaluating test driven development: A systematic review,"Context Test driven development (TDD) has been extensively researched and compared to traditional approaches (test last development, TLD). Existing literature reviews show varying results for TDD. Objective This study investigates how the conclusions of existing literature reviews change when taking two study quality dimension into account, namely rigor and relevance. Method In this study a systematic literature review has been conducted and the results of the identified primary studies have been analyzed with respect to rigor and relevance scores using the assessment rubric proposed by Ivarsson and Gorschek 2011. Rigor and relevance are rated on a scale, which is explained in this paper. Four categories of studies were defined based on high/low rigor and relevance. Results We found that studies in the four categories come to different conclusions. In particular, studies with a high rigor and relevance scores show clear results for improvement in external quality, which seem to come with a loss of productivity. At the same time high rigor and relevance studies only investigate a small set of variables. Other categories contain many studies showing no difference, hence biasing the results negatively for the overall set of primary studies. Given the classification differences to previous literature reviews could be highlighted. Conclusion Strong indications are obtained that external quality is positively influenced, which has to be further substantiated by industry experiments and longitudinal case studies. Future studies in the high rigor and relevance category would contribute largely by focusing on a wider set of outcome variables (e.g. internal code quality). We also conclude that considering rigor and relevance in TDD evaluation is important given the differences in results between categories and in comparison to previous reviews. © 2014 Elsevier B.V. All rights reserved.",Munir H.; Moayyed M.; Petersen K.,2014,Scopus,10.1016/j.infsof.2014.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894046936&doi=10.1016%2fj.infsof.2014.01.002&partnerID=40&md5=ff922adcd9cec6c96b63fcece15ddb59
Overlap between Automated Unit and Acceptance Testing - A Systematic Literature Review,"Unit and automated acceptance testing have different objectives (e.g., testing units of code versus testing complete features). Testing practices (e.g., test-first, model-based) used for one ""level""of testing (for either unit or acceptance testing) may require knowledge and skills that are not applicable to the other. This makes it difficult for practitioners to gain the skills required to effectively test at all levels and form a cohesive testing strategy. The aim of this systematic literature review is to understand whether there are any automated unit testing practices that have similarities with automated acceptance testing practices (and vice versa). Understanding these similarities can enable skill transfer across testing activities at different levels. This systematic literature review focuses on empirical research with an industry focus. We found that test-driven development (TDD) and model-based test generation (MBTG) are two practices widely researched for both unit testing and acceptance testing. For TDD we found that a design- and test-first mindset is required and helpful at both the unit and acceptance levels, but practitioners struggle with that practice. For MBTG we found that, despite its ability to increase code coverage, the additional manual effort to enable automated test generation may outweigh its benefits. © 2022 ACM.",Van Heugten Breurkes J.; Gilson F.; Galster M.,2022,Scopus,10.1145/3530019.3530028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132393444&doi=10.1145%2f3530019.3530028&partnerID=40&md5=c911472cd8c88779c1eefdf0d2f0ba12
Test driven development contribution in universities in producing quality software: A systematic review,"Test driven development (TDD) is one of the Agile techniques adopted in education. TDD is an ideal approach to be taught in university due to its capability in producing quality software and at the same time teaching novice programmers to test and develop a product simultaneously. It helps novice programmers to think before they develop rather than using 'trial-and-error' approach in their project. However, based on the existing research, TDD contribution in producing a better quality and the perception among novice programmers towards it needs to be analyzed. This systematic review will identify the quality of a product produced by the students in university and also their perception towards TDD. © 2014 IEEE.",Yahya N.; Awang Abu Bakar N.S.,2014,Scopus,10.1109/ICT4M.2014.7020666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946689405&doi=10.1109%2fICT4M.2014.7020666&partnerID=40&md5=02e863549f3bc0a835ea0f2f3ff5de56
"19th International Conference on Product-Focused Software Process Improvement, PROFES 2018",The proceedings contain 36 papers. The special focus in this conference is on  Product-Focused Software Process Improvement. The topics include: Software professionals’ attitudes towards video as a medium in requirements engineering; do developers really worry about refactoring re-test? An empirical study of open-source systems; moving beyond the mean: Analyzing variance in software engineering experiments; an activity and metric model for online controlled experiments; influential factors of aligning spotify squads in mission-critical and offshore projects – A longitudinal embedded case study; test-driving fintech product development: An experience report; Does the performance of TDD hold across software companies and premises? A group of industrial experiments on TDD; test case prioritization using test similarities; feature crumbs: Adapting usage monitoring to continuous software engineering; agile manifesto and practices selection for tailoring software development: A systematic literature review; software process measurement and related challenges in agile software development: A multiple case study; emperor’s new clothes: Transparency through metrication in customer-supplier relationships; global software development: Practices for cultural differences; exploring cross-site networking in large-scale distributed projects; Benefits and challenges of adopting the Scaled Agile Framework (SAFe): Preliminary results from a multivocal literature review; threat analysis in practice – Systematically deriving security requirements; process evolution and product maturity: From prototype to product; workshops and tutorials; 2nd QuASD workshop: Managing quality in agile and rapid software development processes; quality improvement of mobile apps – Tool-supported lightweight feedback analyses; agile meets assessments: Case study on how to do agile process improvement in a very small enterprise.,,2018,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057265727&partnerID=40&md5=c940da61720f15626746aadb9901e3de
Contract-driven development,"In spite of cultural difference between the corresponding scientific communities, recognition is growing that test-based and specification-based approaches to software development actually complement each other. The revival of interest in testing tools and techniques follows in particular from the popularity of ""Test-Driven Development""; rigorous specification and proofs have, for their part, also made considerable progress. There remains, however, a fundamental superiority of specifications over test: you can derive tests from a specification, but not the other way around. Contract-Driven Development is a new approach to systematic software construction combining ideas from Design by Contract, from TestDriven Development, from work on formal methods, and from advances in automatic testing as illustrated for example in our AutoTest tool. Like TDD it gives tests a central role in the development process, but these tests are deduced from possibly partial specifications (contracts) and directly supported by the development environment. This talk will explain the concepts and demonstrate their application. © Springer-Verlag Berlin Heidelberg 2007.",Meyer B.; Leitner A.,2007,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37149039638&partnerID=40&md5=9a3a41f6676228175f35c6df4164a7f7
What do we know about test-driven development?,"TDD proponents assert that frequent, incremental testing not only improves the delivered code's quality but also generates a cleaner design. The authors present results from a systematic literature review as well as commentary on the results from a TDD expert's experience on field projects. © 2006 IEEE.",Shull F.; Melnik G.; Turhan B.; Layman L.; Diep M.; Erdogmus H.,2010,Scopus,10.1109/MS.2010.152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958165614&doi=10.1109%2fMS.2010.152&partnerID=40&md5=4dda1664161e9ff5787851455df369c9
Empirical Study on 5G NR Cochannel Coexistence,"The 5G non-public network deployments for industrial applications are becoming highly interesting for industries and enterprises owing to dependable wireless performance characteris-tics. With an increasing trend of network deployments in local licensed and/or shared spectrum, coexistence issues naturally arise. In this article, we present our detailed empirical results on the performance impact of a 5G NR indoor non-public network from a 5G NR outdoor network operating in the same mid-band spectrum. We present experimental results on the uplink and downlink performance impact of a non-public indoor network deployed on an industrial shopfloor. Our results quantify the impact on the uplink and downlink performance characteristics based on realistic traffic loads in a non-public indoor network when using synchronized and unsynchronized Time Division Duplex (TDD) patterns, different UE deployment locations and interference levels. We also present results on mitigating interference effects through robust link adaptation techniques. We believe that this is the first article, which reports quantified 5G NR cochannel coexistence results based on a detailed and systematic study, and provides signficant insights on the cochannel coexistence behavior in realistic deployment scenarios of an industrial shopfloor. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Caro J.B.; Ansari J.; Sachs J.; de Bruin P.; Sivri S.; Grosjean L.; König N.; Schmitt R.H.,2022,Scopus,10.3390/electronics11111676,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130857960&doi=10.3390%2felectronics11111676&partnerID=40&md5=49d24175996c46fa296dcfed6a159537
Factors limiting industrial adoption of test driven development: A systematic review,"Test driven development (TDD) is one of the basic practices of agile software development and both academia and practitioners claim that TDD, to a certain extent, improves the quality of the code produced by developers. However, recent results suggest that this practice is not followed to the extent preferred by industry. In order to pinpoint specific obstacles limiting its industrial adoption we have conducted a systematic literature review on empirical studies explicitly focusing on TDD as well as indirectly addressing TDD. Our review has identified seven limiting factors viz., increased development time, insufficient TDD experience/knowledge, lack of upfront design, domain and tool specific issues, lack of developer skill in writing test cases, insufficient adherence to TDD protocol, and legacy code. The results of this study is of special importance to the testing community, since it outlines the direction for further detailed scientific investigations as well as highlights the requirement of guidelines to overcome these limiting factors for successful industrial adoption of TDD. © 2011 IEEE.",Causevic A.; Sundmark D.; Punnekkat S.,2011,Scopus,10.1109/ICST.2011.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958704204&doi=10.1109%2fICST.2011.19&partnerID=40&md5=00af8c7789ab4d911323443e7aba9203
Outage performance analysis for fractional frequency reused TDD-OFDMA systems with asymmetric traffics,"In this paper, we present an analytical approach to design the inner region size for the fractional frequency reused (FFR) time division duplex (TDD) orthogonal frequency division multiple access (OFDMA) systems when supporting asymmetrical traffic services. In TDD system, supporting asymmetrical traffic can be achieved by adjusting the ratio of downlink and uplink transmission period. Nevertheless, the intercell interference may be deteriorated by the cross-slot interference resulting from the different downlink and uplink ratios among neighboring cells. Although the FFR technique can overcome the inter-cell interference, the impact of the cross-slot interference of TDD systems due to various downlink to uplink traffic ratios in different cells on the inner region size of a FFR-based OFDMA system is an open issue to our best knowledge. Intuitively, the larger the inner region of a FFR system, the higher the system capacity. Thus, this paper can provide a systematic method to determine the size of the inner region of FFR-based OFDMA system for different ratios of the downlink to uplink traffic among two neighbor cells. © 2010 IEEE.",Wang L.-C.; Li W.-C.,2010,Scopus,10.1109/ISITA.2010.5649531,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651293665&doi=10.1109%2fISITA.2010.5649531&partnerID=40&md5=b217ef8d1c20d0e30d2e99b8d4167cab
